track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Sickman,Music Bank,compilation album,1999,Alice In Chains,329,0.018,0.279,0.948,0.00495,1,0.0971,-4.416,1,0.119,140.916,3,0.235
Rooster,Music Bank,compilation album,1999,Alice In Chains,374,0.139,0.256,0.627,0.00178,3,0.116,-5.726,1,0.0276,145.54,4,0.172
Junkhead,Music Bank,compilation album,1999,Alice In Chains,310,0.000132,0.278,0.762,0.000141,4,0.137,-5.437,1,0.0379,138.74,4,0.299
Dirt,Music Bank,compilation album,1999,Alice In Chains,316,0.0232,0.24,0.963,4.38e-06,1,0.154,-3.484,1,0.0867,113.578,4,0.174
God Smack,Music Bank,compilation album,1999,Alice In Chains,230,0.063,0.496,0.969,1.26e-05,10,0.158,-3.881,0,0.111,124.055,4,0.178
Iron Gland,Music Bank,compilation album,1999,Alice In Chains,43,0.354,0.0755,0.44,0.105,3,0.603,-5.641,1,0.0442,81.158,1,0.524
Angry Chair,Music Bank,compilation album,1999,Alice In Chains,287,0.0731,0.315,0.972,1.2e-06,8,0.0594,-3.845,1,0.111,107.388,4,0.123
Lying Season,Music Bank,compilation album,1999,Alice In Chains,199,0.000169,0.204,0.913,0.00857,1,0.041,-5.226,1,0.054,101.886,4,0.332
Would?,Music Bank,compilation album,1999,Alice In Chains,207,0.00621,0.295,0.926,0.00051,6,0.0694,-5.438,1,0.0648,100.231,4,0.442
Brother,Music Bank,compilation album,1999,Alice In Chains,267,0.384,0.45,0.541,4.95e-05,1,0.105,-6.823,1,0.0269,91.556,4,0.276
Am I Inside,Music Bank,compilation album,1999,Alice In Chains,308,0.872,0.413,0.32,0.0019,1,0.11,-8.987,1,0.0271,95.816,4,0.0477
I Stay Away,Music Bank,compilation album,1999,Alice In Chains,254,0.0815,0.201,0.85,0.00106,6,0.091,-5.329,1,0.0427,83.014,4,0.344
No Excuses,Music Bank,compilation album,1999,Alice In Chains,257,0.0204,0.527,0.849,0.000126,3,0.0744,-4.91,1,0.0312,117.436,4,0.708
Down in a Hole,Music Bank,compilation album,1999,Alice In Chains,337,0.0527,0.354,0.826,0.000294,6,0.122,-5.552,1,0.0364,97.248,4,0.409
Hate To Feel,Music Bank,compilation album,1999,Alice In Chains,316,0.25,0.285,0.94,0.0,8,0.236,-4.257,1,0.0982,138.722,4,0.0723
What the Hell Have I - Remix,Music Bank,compilation album,1999,Alice In Chains,234,0.00691,0.204,0.815,9.18e-05,8,0.191,-5.157,1,0.037,200.486,4,0.676
A Little Bitter - Remix,Music Bank,compilation album,1999,Alice In Chains,228,0.0202,0.427,0.943,4.71e-05,8,0.0841,-6.149,1,0.263,122.925,4,0.309
Grind,Music Bank,compilation album,1999,Alice In Chains,284,0.000216,0.242,0.92,0.000374,11,0.426,-4.632,1,0.0522,176.24,4,0.305
Again - Tattoo of Pain Mix,Music Bank,compilation album,1999,"Alice In Chains, Praga Kahn, Oliver Adams",241,1.39e-05,0.499,0.932,0.143,7,0.395,-4.703,1,0.0596,123.043,4,0.325
Head Creeps,Music Bank,compilation album,1999,Alice In Chains,388,0.00191,0.276,0.989,0.249,8,0.252,-4.445,1,0.0739,101.064,4,0.19
God Am,Music Bank,compilation album,1999,Alice In Chains,251,0.0129,0.439,0.96,0.011,11,0.0961,-4.365,1,0.263,157.644,4,0.384
Frogs,Music Bank,compilation album,1999,Alice In Chains,497,0.0206,0.383,0.538,0.415,11,0.116,-7.691,1,0.0291,93.268,4,0.0667
Heaven Beside You,Music Bank,compilation album,1999,Alice In Chains,330,0.00273,0.529,0.784,0.000797,10,0.11,-4.559,0,0.0355,111.244,4,0.521
Nutshell,Music Bank,compilation album,1999,Alice In Chains,268,0.259,0.376,0.522,0.149,3,0.98,-10.942,0,0.0352,123.247,3,0.232
The Killer Is Me,Music Bank,compilation album,1999,Alice In Chains,316,0.236,0.456,0.726,0.171,10,0.716,-8.957,0,0.04,121.786,4,0.316
Over Now,Music Bank,compilation album,1999,Alice In Chains,355,0.12,0.478,0.56,0.0585,5,0.692,-7.653,0,0.0286,111.118,4,0.285
Died,Music Bank,compilation album,1999,Alice In Chains,357,0.0413,0.448,0.812,0.00244,6,0.0928,-6.495,1,0.0327,104.588,4,0.497
Bleed the Freak,Live,live album,2000,Alice In Chains,273,0.000539,0.202,0.843,0.103,8,0.992,-6.009,1,0.0622,116.619,4,0.31
Queen of the Rodeo,Live,live album,2000,Alice In Chains,280,0.00644,0.207,0.75,0.0903,10,0.973,-8.158,0,0.0474,145.634,4,0.402
Angry Chair,Live,live album,2000,Alice In Chains,262,1.69e-05,0.265,0.946,0.0164,8,0.442,-5.617,1,0.0903,110.677,4,0.192
Man in the Box,Live,live album,2000,Alice In Chains,288,2.46e-05,0.387,0.964,0.0372,1,0.697,-5.626,1,0.12,115.141,4,0.215
"Love, Hate, Love",Live,live album,2000,Alice In Chains,467,0.00137,0.19,0.77,0.0744,8,0.965,-7.375,1,0.0731,89.676,4,0.13
Rooster,Live,live album,2000,Alice In Chains,408,0.00783,0.269,0.659,0.00508,8,0.686,-7.123,1,0.0397,133.087,3,0.177
Would?,Live,live album,2000,Alice In Chains,228,1.79e-05,0.203,0.922,0.535,1,0.789,-6.358,1,0.0682,92.48,4,0.27
Junkhead,Live,live album,2000,Alice In Chains,320,4.03e-05,0.326,0.902,0.00726,4,0.968,-6.156,1,0.0749,135.282,4,0.267
Dirt,Live,live album,2000,Alice In Chains,323,0.00229,0.254,0.956,0.328,6,0.976,-4.454,0,0.0686,122.484,4,0.259
Them Bones,Live,live album,2000,Alice In Chains,159,0.0388,0.0839,0.96,4.84e-05,9,0.965,-4.276,1,0.0787,169.416,1,0.212
God Am,Live,live album,2000,Alice In Chains,238,0.076,0.214,0.97,0.00857,8,0.961,-4.539,0,0.112,163.128,4,0.305
Again,Live,live album,2000,Alice In Chains,263,0.0568,0.424,0.986,0.00899,10,0.871,-5.02,0,0.102,125.909,4,0.071
A Little Bitter,Live,live album,2000,Alice In Chains,231,0.00479,0.252,0.986,3.73e-05,8,0.904,-3.948,0,0.226,120.782,4,0.119
Dam That River,Live,live album,2000,Alice In Chains,212,0.00194,0.299,0.976,1.97e-05,6,0.985,-3.585,0,0.126,127.82,4,0.133
We Die Young,The Essential Alice In Chains,compilation album,2006,Alice In Chains,152,4.66e-05,0.462,0.97,0.000267,1,0.331,-3.651,1,0.0708,125.802,4,0.389
Man in the Box,The Essential Alice In Chains,compilation album,2006,Alice In Chains,286,0.00136,0.337,0.849,0.0,8,0.0904,-4.604,1,0.0456,106.395,4,0.685
Sea Of Sorrow,The Essential Alice In Chains,compilation album,2006,Alice In Chains,350,0.0534,0.262,0.912,0.0,11,0.0509,-4.166,1,0.095,122.577,4,0.204
"Love, Hate, Love",The Essential Alice In Chains,compilation album,2006,Alice In Chains,388,0.0291,0.306,0.724,0.000328,8,0.0421,-5.584,1,0.0455,103.607,4,0.179
Am I Inside,The Essential Alice In Chains,compilation album,2006,Alice In Chains,308,0.873,0.415,0.319,0.00154,1,0.11,-9.092,1,0.0274,97.497,4,0.0462
Brother,The Essential Alice In Chains,compilation album,2006,Alice In Chains,268,0.375,0.451,0.542,6.76e-05,1,0.0945,-6.832,1,0.0267,91.636,4,0.275
